record_id,status,published_at,sequence,title,original_url,tags,source_dir,tex_files,pdf_files,bib_files,bst_files,local_assets,article_pdf,duplicate_status,duplicate_group,canonical_record_id,duplicate_basis,metadata_match,metadata_score,metadata_candidate_count,metadata_title,metadata_published_at,metadata_sequence,metadata_original_url,metadata_tags,metadata_pdf_files,metadata_evidence,target_slug,math_section,build_engine,author_review,notes
source:f9d40e7a405c6906,published,2015-08-28T17:12:02+09:00,1,素数の無限性,https://concious4410.hatenablog.com/entry/2015/08/28/171202,数学|代数|僕のお気に入り|可算性,2015/1__10/ar1/素数の無限性,Primes_are_infjan.tex,Primes_are_infjan.pdf,,,tex_pdf,linked,canonical,dup:5a4c05b229adb7bb,source:f9d40e7a405c6906,tex,exact,100.0,1,素数が無限に存在する事の証明,2015-08-28T17:12:02+09:00,1,https://concious4410.hatenablog.com/entry/2015/08/28/171202,数学|代数|僕のお気に入り|可算性,素数の無限性DonaDona2.pdf,confirmed original_url,2015-08-28-01,代数・組合せ,platex,legacy_unrecorded,
source:6267dc241b0df711,published,2015-09-01T20:24:17+09:00,1,位相空間の事、正規性から正則性が導かれない事。,https://concious4410.hatenablog.com/entry/2015/09/01/202417,数学|位相空間|反例|正規空間,2015/1__10/ar2/body,normal_and_regular.tex,normal_and_regular.pdf,,,tex_pdf,linked,unique,,,,exact,100.0,1,位相空間の事、正規性から正則性が導かれない事。,2015-09-01T20:24:17+09:00,1,https://concious4410.hatenablog.com/entry/2015/09/01/202417,数学|位相空間|反例|正規空間,正規性と正則性の反例DonaDona2.pdf,confirmed original_url,2015-09-01-01,位相・距離・幾何,platex,legacy_unrecorded,
article:0929362418356f88,published,2015-09-02T00:04:07+09:00,1,雑談。数学の話はしないよ。ブログの目的とか,https://concious4410.hatenablog.com/entry/2015/09/02/000407,雑談,,,,,,none,none,unique,,,,exact,100.0,1,雑談。数学の話はしないよ。ブログの目的とか,2015-09-02T00:04:07+09:00,1,https://concious4410.hatenablog.com/entry/2015/09/02/000407,雑談,,MT export article inventory; no linked local source,2015-09-02-01,その他,,approved,MTエクスポートには公開記事がありますが、対応するローカルTeX・PDFは未登録です。
source:71e7906bbfc56a14,published,2015-09-10T20:33:27+09:00,1,ワイエルストラスの多項式近似定理,https://concious4410.hatenablog.com/entry/2015/09/10/203327,数学|解析|確率論|線形空間,2015/1__10/ar3/ワイエルシュタトラスの近似定理,Weierstrass_app_thm.tex,Weierstrass_app_thm.pdf,,,tex_pdf,linked,unique,,,,likely,68.4,1,ワイエルストラスの多項式近似定理,2015-09-10T20:33:27+09:00,1,https://concious4410.hatenablog.com/entry/2015/09/10/203327,数学|解析|確率論|線形空間,ワイエルストラスの多項式近似定理DonaDona2.pdf,title similarity 0.77; year,2015-09-10-01,解析・測度・確率,,approved,
source:7dbcaa13e2335723,published,2015-09-11T16:20:49+09:00,1,ウリゾーンの補題の証明。,https://concious4410.hatenablog.com/entry/2015/09/11/162049,位相空間|数学|僕のお気に入り|ウリゾーン,2015/1__10/ar4/body,LemUrysohn.tex,LemUrysohn.pdf,,,tex_pdf,linked,unique,,,,likely,71.8,1,ウリゾーンの補題の証明。,2015-09-11T16:20:49+09:00,1,https://concious4410.hatenablog.com/entry/2015/09/11/162049,位相空間|数学|僕のお気に入り|ウリゾーン,ウリゾーンの定理の証明DonaDona15-10-18.pdf,title similarity 0.82; year,2015-09-11-01,位相・距離・幾何,,approved,
source:81658cb11c1f2eb0,published,2015-09-12T17:34:15+09:00,1,非可算個の可算離散空間の直積について,https://concious4410.hatenablog.com/entry/2015/09/12/173415,位相空間|数学|僕のお気に入り|反例|正規空間|可算性|完全正則空間,2015/1__10/ar5/body,stone.tex,stone.pdf,,,tex_pdf,linked,canonical,dup:3d46bea352bbbff2,source:81658cb11c1f2eb0,tex+pdf,exact,100.0,1,非可算個の可算離散空間の直積について,2015-09-12T17:34:15+09:00,1,https://concious4410.hatenablog.com/entry/2015/09/12/173415,位相空間|数学|僕のお気に入り|反例|正規空間|可算性|完全正則空間,Stoneの定理D16-06-12.pdf,manually confirmed by original URL,2015-09-12-01,位相・距離・幾何,,approved,
source:89cc08da3df1ce36,published,2015-09-12T18:03:44+09:00,2,始位相について,https://concious4410.hatenablog.com/entry/2015/09/12/180344,雑談|数学|位相空間|完全正則空間,2015/1__10/ar6/body,initialtop.tex,initialtop.pdf,,,tex_pdf,linked,canonical,dup:27b93a09c2373f29,source:89cc08da3df1ce36,tex+pdf,exact,100.0,1,始位相について,2015-09-12T18:03:44+09:00,2,https://concious4410.hatenablog.com/entry/2015/09/12/180344,雑談|数学|位相空間|完全正則空間,始位相についてDonaDona15-10-18.pdf,manually confirmed by original URL,2015-09-12-02,位相・距離・幾何,,approved,
source:04434cbe8d4056bc,published,2015-09-12T19:59:11+09:00,3,代数学の基本定理,https://concious4410.hatenablog.com/entry/2015/09/12/195911,数学|代数|解析,2015/1__10/ar7/body,AlgFund000.tex,AlgFund000.pdf,,,tex_pdf,linked,canonical,dup:66fd5e9b04b78f0e,source:04434cbe8d4056bc,tex+pdf,likely,86.0,1,代数学の基本定理,2015-09-12T19:59:11+09:00,3,https://concious4410.hatenablog.com/entry/2015/09/12/195911,数学|代数|解析,代数学の基本定理000DonaDona15-10-18.pdf,title similarity 1.00; year,2015-09-12-03,代数・組合せ,,approved,
source:b47c48d23282fc38,published,2015-09-13T19:05:22+09:00,1,ウリゾーンの距離化可能定理,https://concious4410.hatenablog.com/entry/2015/09/13/190522,位相空間|数学|距離空間|ウリゾーン,2015/1__10/ar8/ウリゾーンの距離化可能定理,metthm_Ury.tex,metthm_Ury.pdf,,,tex_pdf,linked,unique,,,,likely,86.0,1,ウリゾーンの距離化可能定理,2015-09-13T19:05:22+09:00,1,https://concious4410.hatenablog.com/entry/2015/09/13/190522,位相空間|数学|距離空間|ウリゾーン,ウリゾーンの距離化可能定理DonaDona15-11-04.pdf,title similarity 1.00; year,2015-09-13-01,位相・距離・幾何,,approved,
article:8f8c3ad2c43ce129,published,2015-09-13T19:54:26+09:00,2,実数直線上の単射連続関数について,https://concious4410.hatenablog.com/entry/2015/09/13/195426,数学|位相空間|実数に関連する集合論や位相,External/Dropbox-archive,,実数直線上の単射連続関数についてDonaDona.pdf,,,pdf_only,linked,unique,,,,exact,100.0,1,実数直線上の単射連続関数について,2015-09-13T19:54:26+09:00,2,https://concious4410.hatenablog.com/entry/2015/09/13/195426,数学|位相空間|実数に関連する集合論や位相,実数直線上の単射連続関数についてDonaDona.pdf,MT export article inventory; Dropbox PDF recovered,2015-09-13-02,位相・距離・幾何,,approved,TeXソースは喪失済み。MTバックアップに記録された当時のDropbox公開PDFを回収し、PDFのみの候補として登録。 Dropbox公開PDFを回収し、PDFメタデータと全2ページを確認済み。公開可能名義のみ。
